,image,subject,contrast,hemi,view
125,s10/tstat04_turning_walking.nii.gz.s10.rh_lateral.png,s10,turning_walking,rh,lateral
126,s11/tstat04_turning_walking.nii.gz.s11.lh_lateral.png,s11,turning_walking,lh,lateral
127,s11/tstat01_turning_rest.nii.gz.s11.rh_lateral.png,s11,turning_rest,rh,lateral
128,s11/tstat03_imagine_rest.nii.gz.s11.lh_lateral.png,s11,imagine_rest,lh,lateral
129,s11/tstat02_walking_rest.nii.gz.s11.rh_lateral.png,s11,walking_rest,rh,lateral
130,s11/SMA_imagine_rest.nii.gz.s11.lh_dorsal.png,s11,imagine_rest,lh,dorsal
131,s11/SMA_imagine_rest.nii.gz.s11.rh_dorsal.png,s11,imagine_rest,rh,dorsal
132,s11/tstat03_imagine_rest.nii.gz.s11.lh_medial.png,s11,imagine_rest,lh,medial
133,s11/tstat01_turning_rest.nii.gz.s11.lh_lateral.png,s11,turning_rest,lh,lateral
134,s11/tstat01_turning_rest.nii.gz.s11.rh_medial.png,s11,turning_rest,rh,medial
135,s11/tstat03_imagine_rest.nii.gz.s11.rh_medial.png,s11,imagine_rest,rh,medial
136,s11/tstat01_turning_rest.nii.gz.s11.lh_medial.png,s11,turning_rest,lh,medial
137,s11/tstat04_turning_walking.nii.gz.s11.rh_lateral.png,s11,turning_walking,rh,lateral
138,s11/tstat04_turning_walking.nii.gz.s11.lh_medial.png,s11,turning_walking,lh,medial
139,s11/tstat04_turning_walking.nii.gz.s11.rh_medial.png,s11,turning_walking,rh,medial
140,s11/tstat02_walking_rest.nii.gz.s11.lh_lateral.png,s11,walking_rest,lh,lateral
141,s11/tstat02_walking_rest.nii.gz.s11.lh_medial.png,s11,walking_rest,lh,medial
142,s11/tstat02_walking_rest.nii.gz.s11.rh_medial.png,s11,walking_rest,rh,medial
143,s11/tstat03_imagine_rest.nii.gz.s11.rh_lateral.png,s11,imagine_rest,rh,lateral
144,s12/tstat01_turning_rest.nii.gz.s12.rh_lateral.png,s12,turning_rest,rh,lateral
145,s12/tstat04_turning_walking.nii.gz.s12.rh_lateral.png,s12,turning_walking,rh,lateral
146,s12/tstat02_walking_rest.nii.gz.s12.rh_lateral.png,s12,walking_rest,rh,lateral
147,s12/tstat03_imagine_rest.nii.gz.s12.lh_lateral.png,s12,imagine_rest,lh,lateral
148,s12/tstat01_turning_rest.nii.gz.s12.lh_medial.png,s12,turning_rest,lh,medial
149,s12/tstat03_imagine_rest.nii.gz.s12.rh_medial.png,s12,imagine_rest,rh,medial
150,s12/tstat01_turning_rest.nii.gz.s12.rh_medial.png,s12,turning_rest,rh,medial
151,s12/tstat03_imagine_rest.nii.gz.s12.lh_medial.png,s12,imagine_rest,lh,medial
152,s12/tstat01_turning_rest.nii.gz.s12.lh_lateral.png,s12,turning_rest,lh,lateral
153,s12/SMA_imagine_rest.nii.gz.s12.rh_dorsal.png,s12,imagine_rest,rh,dorsal
154,s12/SMA_imagine_rest.nii.gz.s12.lh_dorsal.png,s12,imagine_rest,lh,dorsal
155,s12/tstat02_walking_rest.nii.gz.s12.rh_medial.png,s12,walking_rest,rh,medial
156,s12/tstat04_turning_walking.nii.gz.s12.rh_medial.png,s12,turning_walking,rh,medial
157,s12/tstat02_walking_rest.nii.gz.s12.lh_medial.png,s12,walking_rest,lh,medial
158,s12/tstat04_turning_walking.nii.gz.s12.lh_medial.png,s12,turning_walking,lh,medial
159,s12/tstat03_imagine_rest.nii.gz.s12.rh_lateral.png,s12,imagine_rest,rh,lateral
160,s12/tstat02_walking_rest.nii.gz.s12.lh_lateral.png,s12,walking_rest,lh,lateral
161,s12/tstat04_turning_walking.nii.gz.s12.lh_lateral.png,s12,turning_walking,lh,lateral
162,s13/tstat02_walking_rest.nii.gz.s13.rh_lateral.png,s13,walking_rest,rh,lateral
163,s13/tstat03_imagine_rest.nii.gz.s13.lh_lateral.png,s13,imagine_rest,lh,lateral
164,s13/tstat04_turning_walking.nii.gz.s13.lh_medial.png,s13,turning_walking,lh,medial
165,s13/tstat04_turning_walking.nii.gz.s13.rh_medial.png,s13,turning_walking,rh,medial
166,s13/tstat01_turning_rest.nii.gz.s13.rh_lateral.png,s13,turning_rest,rh,lateral
167,s13/tstat04_turning_walking.nii.gz.s13.rh_lateral.png,s13,turning_walking,rh,lateral
168,s13/tstat03_imagine_rest.nii.gz.s13.rh_lateral.png,s13,imagine_rest,rh,lateral
169,s13/tstat02_walking_rest.nii.gz.s13.lh_lateral.png,s13,walking_rest,lh,lateral
170,s13/tstat03_imagine_rest.nii.gz.s13.rh_medial.png,s13,imagine_rest,rh,medial
171,s13/SMA_imagine_rest.nii.gz.s13.lh_dorsal.png,s13,imagine_rest,lh,dorsal
172,s13/tstat01_turning_rest.nii.gz.s13.lh_medial.png,s13,turning_rest,lh,medial
173,s13/tstat03_imagine_rest.nii.gz.s13.lh_medial.png,s13,imagine_rest,lh,medial
174,s13/SMA_imagine_rest.nii.gz.s13.rh_dorsal.png,s13,imagine_rest,rh,dorsal
175,s13/tstat01_turning_rest.nii.gz.s13.rh_medial.png,s13,turning_rest,rh,medial
176,s13/tstat01_turning_rest.nii.gz.s13.lh_lateral.png,s13,turning_rest,lh,lateral
177,s13/tstat04_turning_walking.nii.gz.s13.lh_lateral.png,s13,turning_walking,lh,lateral
178,s13/tstat02_walking_rest.nii.gz.s13.rh_medial.png,s13,walking_rest,rh,medial
179,s13/tstat02_walking_rest.nii.gz.s13.lh_medial.png,s13,walking_rest,lh,medial
180,s14/tstat04_turning_walking.nii.gz.s14.lh_lateral.png,s14,turning_walking,lh,lateral
181,s14/tstat03_imagine_rest.nii.gz.s14.lh_medial.png,s14,imagine_rest,lh,medial
182,s14/tstat01_turning_rest.nii.gz.s14.rh_medial.png,s14,turning_rest,rh,medial
183,s14/tstat03_imagine_rest.nii.gz.s14.rh_lateral.png,s14,imagine_rest,rh,lateral
184,s14/tstat03_imagine_rest.nii.gz.s14.rh_medial.png,s14,imagine_rest,rh,medial
185,s14/tstat01_turning_rest.nii.gz.s14.lh_medial.png,s14,turning_rest,lh,medial
186,s14/SMA_imagine_rest.nii.gz.s14.lh_dorsal.png,s14,imagine_rest,lh,dorsal
187,s14/SMA_imagine_rest.nii.gz.s14.rh_dorsal.png,s14,imagine_rest,rh,dorsal
188,s14/tstat02_walking_rest.nii.gz.s14.lh_lateral.png,s14,walking_rest,lh,lateral
189,s14/tstat01_turning_rest.nii.gz.s14.lh_lateral.png,s14,turning_rest,lh,lateral
190,s14/tstat04_turning_walking.nii.gz.s14.lh_medial.png,s14,turning_walking,lh,medial
191,s14/tstat04_turning_walking.nii.gz.s14.rh_medial.png,s14,turning_walking,rh,medial
192,s14/tstat02_walking_rest.nii.gz.s14.lh_medial.png,s14,walking_rest,lh,medial
193,s14/tstat02_walking_rest.nii.gz.s14.rh_medial.png,s14,walking_rest,rh,medial
194,s14/tstat02_walking_rest.nii.gz.s14.rh_lateral.png,s14,walking_rest,rh,lateral
195,s14/tstat03_imagine_rest.nii.gz.s14.lh_lateral.png,s14,imagine_rest,lh,lateral
196,s14/tstat04_turning_walking.nii.gz.s14.rh_lateral.png,s14,turning_walking,rh,lateral
197,s14/tstat01_turning_rest.nii.gz.s14.rh_lateral.png,s14,turning_rest,rh,lateral
198,s15/tstat03_imagine_rest.nii.gz.s15.lh_lateral.png,s15,imagine_rest,lh,lateral
199,s15/tstat02_walking_rest.nii.gz.s15.rh_lateral.png,s15,walking_rest,rh,lateral
200,s15/tstat04_turning_walking.nii.gz.s15.rh_lateral.png,s15,turning_walking,rh,lateral
201,s15/tstat01_turning_rest.nii.gz.s15.rh_lateral.png,s15,turning_rest,rh,lateral
202,s15/tstat04_turning_walking.nii.gz.s15.lh_medial.png,s15,turning_walking,lh,medial
203,s15/tstat04_turning_walking.nii.gz.s15.rh_medial.png,s15,turning_walking,rh,medial
204,s15/tstat02_walking_rest.nii.gz.s15.lh_lateral.png,s15,walking_rest,lh,lateral
205,s15/tstat03_imagine_rest.nii.gz.s15.rh_lateral.png,s15,imagine_rest,rh,lateral
206,s15/tstat04_turning_walking.nii.gz.s15.lh_lateral.png,s15,turning_walking,lh,lateral
207,s15/tstat02_walking_rest.nii.gz.s15.rh_medial.png,s15,walking_rest,rh,medial
208,s15/tstat02_walking_rest.nii.gz.s15.lh_medial.png,s15,walking_rest,lh,medial
209,s15/SMA_imagine_rest.nii.gz.s15.rh_dorsal.png,s15,imagine_rest,rh,dorsal
210,s15/SMA_imagine_rest.nii.gz.s15.lh_dorsal.png,s15,imagine_rest,lh,dorsal
211,s15/tstat01_turning_rest.nii.gz.s15.lh_lateral.png,s15,turning_rest,lh,lateral
212,s15/tstat03_imagine_rest.nii.gz.s15.rh_medial.png,s15,imagine_rest,rh,medial
213,s15/tstat01_turning_rest.nii.gz.s15.lh_medial.png,s15,turning_rest,lh,medial
214,s15/tstat03_imagine_rest.nii.gz.s15.lh_medial.png,s15,imagine_rest,lh,medial
215,s15/tstat01_turning_rest.nii.gz.s15.rh_medial.png,s15,turning_rest,rh,medial
216,s16/tstat01_turning_rest.nii.gz.s16.lh_lateral.png,s16,turning_rest,lh,lateral
217,s16/tstat04_turning_walking.nii.gz.s16.rh_lateral.png,s16,turning_walking,rh,lateral
218,s16/tstat03_imagine_rest.nii.gz.s16.rh_lateral.png,s16,imagine_rest,rh,lateral
219,s16/tstat04_turning_walking.nii.gz.s16.rh_medial.png,s16,turning_walking,rh,medial
220,s16/tstat04_turning_walking.nii.gz.s16.lh_medial.png,s16,turning_walking,lh,medial
221,s16/tstat02_walking_rest.nii.gz.s16.lh_lateral.png,s16,walking_rest,lh,lateral
222,s16/tstat02_walking_rest.nii.gz.s16.lh_medial.png,s16,walking_rest,lh,medial
223,s16/tstat02_walking_rest.nii.gz.s16.rh_medial.png,s16,walking_rest,rh,medial
224,s16/tstat01_turning_rest.nii.gz.s16.rh_lateral.png,s16,turning_rest,rh,lateral
225,s16/tstat01_turning_rest.nii.gz.s16.rh_medial.png,s16,turning_rest,rh,medial
226,s16/tstat03_imagine_rest.nii.gz.s16.lh_medial.png,s16,imagine_rest,lh,medial
227,s16/tstat01_turning_rest.nii.gz.s16.lh_medial.png,s16,turning_rest,lh,medial
